,BLSA
2020-10-22,10.180000305175781
2020-10-23,10.270000457763672
2020-10-26,10.260000228881836
2020-10-27,10.350000381469727
2020-10-28,10.399999618530273
2020-10-29,10.399999618530273
2020-10-30,10.329999923706055
2020-11-02,10.319999694824219
2020-11-03,10.800000190734863
2020-11-04,10.579999923706055
2020-11-05,10.75
2020-11-06,10.800000190734863
2020-11-09,10.800000190734863
2020-11-10,10.390000343322754
2020-11-11,10.75
2020-11-12,10.800000190734863
2020-11-13,10.635000228881836
2020-11-16,10.635000228881836
2020-11-17,10.789999961853027
2020-11-18,10.899999618530273
2020-11-19,10.84000015258789
2020-11-20,10.88700008392334
2020-11-23,10.4399995803833
2020-11-24,10.779999732971191
2020-11-25,10.579999923706055
2020-11-27,10.5
2020-11-30,10.5
2020-12-01,10.600000381469727
2020-12-02,10.930000305175781
2020-12-03,10.930000305175781
2020-12-04,10.829999923706055
2020-12-07,10.640000343322754
2020-12-08,10.569999694824219
2020-12-09,10.609999656677246
2020-12-10,10.579999923706055
2020-12-11,10.758999824523926
2020-12-14,10.789999961853027
2020-12-15,10.979999542236328
2020-12-16,10.850000381469727
2020-12-17,10.75
2020-12-18,11.100000381469727
2020-12-21,10.880000114440918
2020-12-22,11.199999809265137
2020-12-23,11.15999984741211
2020-12-24,11.217000007629395
2020-12-28,11.210000038146973
2020-12-29,10.989999771118164
2020-12-30,11.020000457763672
2020-12-31,11.140000343322754
2021-01-04,10.960000038146973
2021-01-05,10.880000114440918
2021-01-06,11.0
2021-01-07,10.989999771118164
2021-01-08,11.0
2021-01-11,11.0
2021-01-12,10.979999542236328
2021-01-13,11.0600004196167
2021-01-14,10.800000190734863
2021-01-15,10.979999542236328
2021-01-19,10.739999771118164
2021-01-20,10.850000381469727
2021-01-21,11.09000015258789
2021-01-22,10.859999656677246
2021-01-25,11.09000015258789
2021-01-26,11.1899995803833
2021-01-27,10.819999694824219
2021-01-28,10.829999923706055
2021-01-29,10.859999656677246
2021-02-01,11.15999984741211
2021-02-02,11.149999618530273
2021-02-03,11.1899995803833
2021-02-04,11.15999984741211
2021-02-05,11.1899995803833
2021-02-08,11.25
2021-02-09,11.270000457763672
2021-02-10,11.880000114440918
2021-02-11,12.050000190734863
2021-02-12,12.125
2021-02-16,12.170000076293945
2021-02-17,12.229999542236328
2021-02-18,12.90999984741211
2021-02-19,13.350000381469727
2021-02-22,13.260000228881836
2021-02-23,12.670000076293945
2021-02-24,13.319999694824219
2021-02-25,12.25
2021-02-26,11.960000038146973
2021-03-01,12.15999984741211
2021-03-02,12.149999618530273
2021-03-03,11.800000190734863
2021-03-04,10.710000038146973
2021-03-05,10.789999961853027
2021-03-08,10.859999656677246
2021-03-09,11.010000228881836
2021-03-10,11.079999923706055
2021-03-11,10.850000381469727
2021-03-12,11.619999885559082
2021-03-15,11.15999984741211
2021-03-16,11.010000228881836
2021-03-17,10.699999809265137
2021-03-18,11.029999732971191
2021-03-19,10.739999771118164
2021-03-22,11.199999809265137
2021-03-23,10.449999809265137
2021-03-24,10.329999923706055
2021-03-25,10.59000015258789
2021-03-26,10.329999923706055
2021-03-29,10.529999732971191
2021-03-30,10.289999961853027
2021-03-31,10.569999694824219
2021-04-01,10.3100004196167
2021-04-05,10.350000381469727
2021-04-06,10.619999885559082
2021-04-07,10.40999984741211
2021-04-08,10.550000190734863
2021-04-09,10.300000190734863
2021-04-12,10.15999984741211
2021-04-13,10.319999694824219
2021-04-14,10.369999885559082
2021-04-15,10.350000381469727
2021-04-16,10.329999923706055
2021-04-19,10.350000381469727
2021-04-20,10.319999694824219
2021-04-21,10.369999885559082
2021-04-22,10.479999542236328
2021-04-23,10.40999984741211
2021-04-26,10.40999984741211
2021-04-27,10.289999961853027
2021-04-28,10.350000381469727
2021-04-29,10.375
2021-04-30,10.295999526977539
2021-05-03,10.270000457763672
2021-05-04,10.270000457763672
2021-05-05,10.210000038146973
2021-05-06,10.206999778747559
2021-05-07,10.260000228881836
2021-05-10,10.270000457763672
2021-05-11,10.270999908447266
2021-05-12,10.300000190734863
2021-05-13,10.470000267028809
2021-05-14,10.350000381469727
