,DBDRU
2020-11-05,10.0
2020-11-06,9.989999771118164
2020-11-09,9.994999885559082
2020-11-10,9.989999771118164
2020-11-11,9.989999771118164
2020-11-12,9.989999771118164
2020-11-13,9.979999542236328
2020-11-16,10.010000228881836
2020-11-17,10.010000228881836
2020-11-18,10.0
2020-11-19,10.069999694824219
2020-11-20,10.09000015258789
2020-11-23,10.140000343322754
2020-11-24,10.119999885559082
2020-11-25,10.300000190734863
2020-11-27,10.140000343322754
2020-11-30,10.25
2020-12-01,10.25
2020-12-02,10.25
2020-12-03,10.319999694824219
2020-12-04,10.300000190734863
2020-12-07,10.319999694824219
2020-12-08,10.75
2020-12-09,10.399999618530273
2020-12-10,10.5
2020-12-11,10.5
2020-12-14,11.0
2020-12-15,10.819999694824219
2020-12-16,10.640000343322754
2020-12-17,10.550000190734863
2020-12-18,10.4399995803833
2020-12-21,10.4399995803833
2020-12-22,10.350000381469727
2020-12-23,10.451000213623047
2020-12-24,10.979999542236328
2020-12-28,10.819999694824219
2020-12-29,10.699999809265137
2020-12-30,10.539999961853027
2020-12-31,10.399999618530273
2021-01-04,10.979999542236328
2021-01-05,10.649999618530273
2021-01-06,10.680000305175781
2021-01-07,10.664999961853027
2021-01-08,10.857999801635742
2021-01-11,10.800000190734863
2021-01-12,11.149999618530273
2021-01-13,11.164999961853027
2021-01-14,11.0600004196167
2021-01-15,11.010000228881836
2021-01-19,11.0
2021-01-20,11.0
2021-01-21,11.069999694824219
2021-01-22,11.079999923706055
2021-01-25,11.260000228881836
2021-01-26,11.269000053405762
2021-01-27,10.770000457763672
2021-01-28,10.649999618530273
2021-01-29,10.699999809265137
2021-02-01,11.0
2021-02-02,11.100000381469727
2021-02-03,10.77299976348877
2021-02-04,10.77299976348877
2021-02-05,10.899999618530273
2021-02-08,10.960000038146973
2021-02-09,10.920000076293945
2021-02-10,10.899999618530273
2021-02-11,10.899999618530273
2021-02-12,10.9399995803833
2021-02-16,10.930000305175781
2021-02-17,10.930000305175781
2021-02-18,10.989999771118164
2021-02-19,11.149999618530273
2021-02-22,11.109999656677246
2021-02-23,11.069999694824219
2021-02-24,11.060999870300293
2021-02-25,10.880000114440918
2021-02-26,10.819999694824219
2021-03-01,10.925000190734863
2021-03-02,10.670000076293945
2021-03-03,10.5
2021-03-04,10.508000373840332
2021-03-05,10.5
2021-03-08,10.449999809265137
2021-03-09,10.482000350952148
2021-03-10,10.482000350952148
2021-03-11,10.505000114440918
2021-03-12,10.505000114440918
2021-03-15,10.59000015258789
2021-03-16,10.529999732971191
2021-03-17,10.59000015258789
2021-03-18,10.59000015258789
2021-03-19,10.399999618530273
2021-03-22,10.380000114440918
2021-03-23,10.369999885559082
2021-03-24,10.288999557495117
2021-03-25,10.21399974822998
2021-03-26,10.21399974822998
2021-03-29,10.335000038146973
2021-03-30,10.109999656677246
2021-03-31,10.199999809265137
2021-04-01,10.220000267028809
2021-04-05,10.239999771118164
2021-04-06,10.369999885559082
2021-04-07,10.25
2021-04-08,10.260000228881836
2021-04-09,10.260000228881836
2021-04-12,10.425000190734863
2021-04-13,10.319999694824219
2021-04-14,10.395000457763672
2021-04-15,10.395000457763672
2021-04-16,10.390000343322754
2021-04-19,10.574999809265137
2021-04-20,10.470000267028809
2021-04-21,10.539999961853027
2021-04-22,10.449999809265137
2021-04-23,10.5
2021-04-26,10.550000190734863
2021-04-27,10.609999656677246
2021-04-28,10.649999618530273
2021-04-29,10.800000190734863
2021-04-30,10.725000381469727
2021-05-03,10.600000381469727
2021-05-04,10.640000343322754
2021-05-05,10.593000411987305
2021-05-06,10.670000076293945
2021-05-07,10.699999809265137
2021-05-10,10.699999809265137
2021-05-11,10.5600004196167
2021-05-12,10.609999656677246
2021-05-13,10.604999542236328
2021-05-14,10.630000114440918
