,ENNVU
2021-02-09,11.279999732971191
2021-02-10,11.149999618530273
2021-02-11,11.100000381469727
2021-02-12,11.149999618530273
2021-02-16,11.3100004196167
2021-02-17,11.109999656677246
2021-02-18,11.010000228881836
2021-02-19,11.100000381469727
2021-02-22,10.899999618530273
2021-02-23,10.779999732971191
2021-02-24,10.930000305175781
2021-02-25,10.725000381469727
2021-02-26,10.649999618530273
2021-03-01,10.550000190734863
2021-03-02,10.380000114440918
2021-03-03,10.300000190734863
2021-03-04,10.09000015258789
2021-03-05,10.3100004196167
2021-03-08,10.239999771118164
2021-03-09,10.359999656677246
2021-03-10,10.15999984741211
2021-03-11,10.329999923706055
2021-03-12,10.279999732971191
2021-03-15,10.199999809265137
2021-03-16,10.149999618530273
2021-03-17,10.100000381469727
2021-03-18,10.09000015258789
2021-03-19,10.0600004196167
2021-03-22,10.029999732971191
2021-03-23,9.9399995803833
2021-03-24,9.920000076293945
2021-03-25,9.930000305175781
2021-03-26,9.960000038146973
2021-03-29,10.109999656677246
2021-03-30,10.039999961853027
2021-03-31,10.079999923706055
2021-04-01,9.989999771118164
2021-04-05,10.180000305175781
2021-04-06,10.369999885559082
2021-04-07,10.25
2021-04-08,10.279999732971191
2021-04-09,10.255000114440918
2021-04-12,10.255000114440918
2021-04-13,10.289999961853027
2021-04-14,10.170000076293945
2021-04-15,10.15999984741211
2021-04-16,10.1899995803833
2021-04-19,10.130000114440918
2021-04-20,10.020000457763672
2021-04-21,10.079999923706055
2021-04-22,10.09000015258789
2021-04-23,10.149999618530273
2021-04-26,10.100000381469727
2021-04-27,10.15999984741211
2021-04-28,10.149999618530273
2021-04-29,10.109999656677246
2021-04-30,10.069999694824219
2021-05-03,10.079999923706055
2021-05-04,10.239999771118164
2021-05-05,10.199999809265137
2021-05-06,10.149999618530273
2021-05-07,10.149999618530273
2021-05-10,10.100000381469727
2021-05-11,10.149999618530273
2021-05-12,10.100000381469727
2021-05-13,10.079000473022461
2021-05-14,10.069999694824219
